redshift,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_total_sfrd,popiii_fraction_of_total_sfrd,j21_lw_popii,j21_lw_popiii,j21_lw_total,mmol_no_feedback_msun,mmol_lw_only_msun,mmol_lw_vcb_mean_msun,matom_msun,popiii_sfrd_peak_halo_mass_msun,popiii_sfrd_p16_halo_mass_msun,popiii_sfrd_median_halo_mass_msun,popiii_sfrd_p84_halo_mass_msun,popiii_sfr_fraction_90pct_halo_mass_msun,popiii_sfr_fraction_50pct_halo_mass_msun,popiii_sfr_fraction_10pct_halo_mass_msun
2.395608652646e+01,1.865607995113e-05,8.909706358201e-05,1.731372221674e-01,8.268627778326e-01,3.494094661769e-02,4.007875348955e-01,4.357284815132e-01,2.646971198442e+05,5.862917441947e+05,1.899462266949e+06,2.547288634638e+07,2.075263132145e+06,1.119319128185e+06,2.828695227458e+06,8.104760316923e+06,8.941628819510e+06,1.923199332899e+07,4.595713454326e+07
2.435424457558e+01,1.475035441390e-05,7.993454272473e-05,1.557836028729e-01,8.442163971271e-01,2.809116738340e-02,3.663267369996e-01,3.944179043830e-01,2.584865361585e+05,5.543163193687e+05,1.796054478149e+06,2.487521647954e+07,2.075263132145e+06,1.040896832627e+06,2.647993514685e+06,7.604288559257e+06,8.778034636545e+06,1.889458089514e+07,4.509032259536e+07
2.475902014263e+01,1.158253879270e-05,7.138625985030e-05,1.396011390082e-01,8.603988609918e-01,2.244334242694e-02,3.334307914680e-01,3.558741338949e-01,2.524177736051e+05,5.240165327203e+05,1.697988363720e+06,2.429119464025e+07,2.075263132145e+06,9.731591922545e+05,2.475376180619e+06,7.098430700353e+06,8.617237822677e+06,1.856198801524e+07,4.423686597237e+07
2.517052321294e+01,9.041078784070e-06,6.349713426879e-05,1.246388407374e-01,8.753611592626e-01,1.781909333288e-02,3.022152504626e-01,3.200343437955e-01,2.464877451072e+05,4.953409734992e+05,1.604918209898e+06,2.372052374649e+07,2.075263132145e+06,9.135577513312e+05,2.309197636016e+06,6.585719747781e+06,8.459227343984e+06,1.823440091202e+07,4.339673626729e+07
2.558886559982e+01,7.012705210422e-06,5.624091801122e-05,1.108664587616e-01,8.891335412384e-01,1.405504701836e-02,2.727165626644e-01,2.867716096828e-01,2.406934249205e+05,4.682115052983e+05,1.517000642572e+06,2.316291261850e+07,2.075263132145e+06,8.603806778505e+05,2.148614274676e+06,6.066538234945e+06,8.303848502706e+06,1.791167559961e+07,4.256972578131e+07
2.601416097497e+01,5.404029382285e-06,4.959751140574e-05,9.825232720502e-02,9.017476727950e-01,1.100977095844e-02,2.449503812335e-01,2.559601521920e-01,2.350318476433e+05,4.425519276567e+05,1.434035957458e+06,2.261807588357e+07,2.075263132145e+06,8.121930669917e+05,1.999714273093e+06,5.602972279542e+06,8.149960681376e+06,1.759353767123e+07,4.175868110191e+07
2.644652489934e+01,4.135593710145e-06,4.353556794926e-05,8.675252639515e-02,9.132474736049e-01,8.562782023311e-03,2.189411670639e-01,2.275039490872e-01,2.295001072331e+05,4.183019601870e+05,1.355399686537e+06,2.208573388132e+07,1.251875025863e+06,7.677266747307e+05,1.866352866224e+06,5.277518742156e+06,7.998130938139e+06,1.728014075349e+07,4.096409931054e+07
2.688607485456e+01,3.141629312249e-06,3.802347292494e-05,7.631778233288e-02,9.236822176671e-01,6.611670200022e-03,1.947225581829e-01,2.013342283829e-01,2.240953560303e+05,3.954174686210e+05,1.281063639870e+06,2.156561256983e+07,1.251875025863e+06,7.099036170614e+05,1.742369006162e+06,4.952074382840e+06,7.848923894454e+06,1.697139783564e+07,4.018208255346e+07
2.733293027482e+01,2.369524031558e-06,3.304630268987e-05,6.690579469445e-02,9.330942053055e-01,5.067852376396e-03,1.723010263504e-01,1.773688787268e-01,2.188148037892e+05,3.738510157444e+05,1.211423372390e+06,2.105744343236e+07,1.251875025863e+06,6.555443707026e+05,1.626479625662e+06,4.626330918761e+06,7.702125043041e+06,1.666729984706e+07,3.941234352963e+07
2.778721257936e+01,1.774067508336e-06,2.857426671489e-05,5.845683309296e-02,9.415431669070e-01,3.855306130850e-03,1.516518844608e-01,1.555071905917e-01,2.136557167177e+05,3.535483349499e+05,1.145649250304e+06,2.056096338490e+07,1.251875025863e+06,6.097080732514e+05,1.516567462809e+06,4.297721793458e+06,7.557877667984e+06,1.636780735079e+07,3.865502064941e+07
