redshift,halo_mass_lower_msun,halo_mass_upper_msun,sfrd_popii_msun_yr_mpc3,sfrd_popiii_msun_yr_mpc3,popii_fraction_of_bin_sfr,popiii_fraction_of_bin_sfr,bin_fraction_of_total_sfrd
1.345421058695e+01,1.000000000000e+07,1.000000000000e+08,5.643721777690e-04,3.991874201421e-04,5.857159007004e-01,4.142840992996e-01,2.071563159898e-01
1.345421058695e+01,1.000000000000e+08,1.000000000000e+09,2.132895162022e-03,2.124127775048e-05,9.901393071682e-01,9.860692831847e-03,4.631192195792e-01
1.345421058695e+01,1.000000000000e+09,1.000000000000e+10,1.266878772502e-03,2.615665928184e-12,9.999999979353e-01,2.064653682386e-09,2.723671067447e-01
1.345421058695e+01,1.000000000000e+10,1.000000000000e+14,1.543506511747e-04,2.525360196479e-58,1.000000000000e+00,1.636118913175e-54,3.318394870157e-02
1.367782399867e+01,1.000000000000e+05,1.000000000000e+06,8.887234440599e-25,7.129640149201e-09,1.246519355061e-16,1.000000000000e+00,1.672248659811e-06
1.367782399867e+01,1.000000000000e+06,1.000000000000e+07,7.370363330388e-07,1.199534062603e-04,6.106832630671e-03,9.938931673693e-01,2.830780048572e-02
1.367782399867e+01,1.000000000000e+07,1.000000000000e+08,5.490264818719e-04,3.890388563245e-04,5.852753102758e-01,4.147246897242e-01,2.200221149716e-01
1.367782399867e+01,1.000000000000e+08,1.000000000000e+09,1.966278491691e-03,1.898495438686e-05,9.904370604192e-01,9.562939580825e-03,4.656411919255e-01
1.367782399867e+01,1.000000000000e+09,1.000000000000e+10,1.097643205539e-03,1.634537358636e-12,9.999999985109e-01,1.489133579977e-09,2.574509152963e-01
1.367782399867e+01,1.000000000000e+10,1.000000000000e+14,1.218352131800e-04,1.381879239027e-59,1.000000000000e+00,1.134219904869e-55,2.857630507213e-02
1.390515393896e+01,1.000000000000e+05,1.000000000000e+06,2.452190412595e-24,1.134960213089e-08,2.160595926019e-16,1.000000000000e+00,2.912123909143e-06
1.390515393896e+01,1.000000000000e+06,1.000000000000e+07,8.147642222880e-07,1.280574261200e-04,6.322265650360e-03,9.936777343496e-01,3.306651478980e-02
1.390515393896e+01,1.000000000000e+07,1.000000000000e+08,5.318061366849e-04,3.775046586606e-04,5.848452909688e-01,4.151547090312e-01,2.333144085077e-01
1.390515393896e+01,1.000000000000e+08,1.000000000000e+09,1.803035609111e-03,1.687331276034e-05,9.907284850590e-01,9.271514940970e-03,4.669591253264e-01
1.390515393896e+01,1.000000000000e+09,1.000000000000e+10,9.440889438287e-04,1.005813900282e-12,9.999999989346e-01,1.065380445121e-09,2.422379178497e-01
1.390515393896e+01,1.000000000000e+10,1.000000000000e+14,9.517016478354e-05,7.007244998614e-61,1.000000000000e+00,7.362858953278e-57,2.441912140240e-02
1.413626217773e+01,1.000000000000e+05,1.000000000000e+06,6.606995476249e-24,1.764710999197e-08,3.743953247446e-16,1.000000000000e+00,4.955271867207e-06
1.413626217773e+01,1.000000000000e+06,1.000000000000e+07,8.968458479996e-07,1.361031758907e-04,6.546319019642e-03,9.934536809804e-01,3.846932182309e-02
1.413626217773e+01,1.000000000000e+07,1.000000000000e+08,5.137504454312e-04,3.652060747232e-04,5.845004088950e-01,4.154995911050e-01,2.468091669854e-01
1.413626217773e+01,1.000000000000e+08,1.000000000000e+09,1.648012508330e-03,1.493877791015e-05,9.910167074443e-01,8.983292555685e-03,4.669532704782e-01
1.413626217773e+01,1.000000000000e+09,1.000000000000e+10,8.084737881221e-04,6.108106342961e-13,9.999999992445e-01,7.555107448238e-10,2.270177622571e-01
1.413626217773e+01,1.000000000000e+10,1.000000000000e+14,7.388061428016e-05,3.298717699795e-62,1.000000000000e+00,4.464929984591e-58,2.074552318431e-02
1.437121151156e+01,1.000000000000e+05,1.000000000000e+06,1.737680842026e-23,2.686545891938e-08,6.468085459623e-16,1.000000000000e+00,8.271284365305e-06
1.437121151156e+01,1.000000000000e+06,1.000000000000e+07,9.820448475675e-07,1.439518746197e-04,6.775811012200e-03,9.932241889878e-01,4.462196851686e-02
1.437121151156e+01,1.000000000000e+07,1.000000000000e+08,4.943710919555e-04,3.518933671124e-04,5.841803784364e-01,4.158196215636e-01,2.605462281588e-01
